time,close_time,open,high,low,close,volume
1783931400000,1783932299999,63100.01,63127.87,63000.73,63127.86,393.95774
1783932300000,1783933199999,63127.86,63302.88,63122.21,63206.97,361.45411
1783933200000,1783934099999,63206.98,63210.0,63138.75,63155.26,119.32965
1783934100000,1783934999999,63155.26,63155.27,63098.59,63131.0,85.04434
1783935000000,1783935899999,63131.0,63134.01,63090.67,63109.32,229.95585
1783935900000,1783936799999,63109.33,63127.01,63086.12,63100.02,229.10591
1783936800000,1783937699999,63100.02,63115.79,63080.0,63085.82,144.90341
1783937700000,1783938599999,63085.81,63157.85,63068.11,63100.0,160.33664
1783938600000,1783939499999,63100.0,63121.94,62884.29,62932.45,393.69853
1783939500000,1783940399999,62932.45,62975.54,62862.28,62867.89,89.35506
1783940400000,1783941299999,62867.9,62986.97,62867.9,62986.97,25.52323
